model,light_strength,ambient_strength,psnr,psnr_std
Gargoyle_B0BYTQT173_Dragon,4.0,0.03,16.569146804876876,0.8077321397281075
Gargoyle_B0BYTQT173_Dragon,3.0,0.1,20.491365927252808,0.7137975314649907
Gargoyle_B0BYTQT173_Dragon,2.0,0.2,22.44215235604987,0.861682432242219
Gargoyle_B0BYTQT173_Dragon,3.5,0.15,17.378084415758707,0.7684909612130648
Gargoyle_B0BYTQT173_Dragon,3.5,0.03,18.649037923766667,0.819910724649924
Gargoyle_B0BYTQT173_Dragon,5.0,0.2,13.045243115603407,0.48499319328799756
Gargoyle_B0BYTQT173_Dragon,1.0,0.05,12.174883816355628,0.2979416017394402
Gargoyle_B0BYTQT173_Dragon,2.5,0.2,21.96735760379216,0.6130932614638787
Gargoyle_B0BYTQT173_Dragon,4.5,0.04,14.965922534278556,0.7184646281186757
Gargoyle_B0BYTQT173_Dragon,3.5,0.01,18.799935670162878,0.7982613472862059
Gargoyle_B0BYTQT173_Dragon,3.5,0.02,18.73224935277966,0.8115600266581103
Gargoyle_B0BYTQT173_Dragon,3.0,0.01,21.159039800598276,0.6259568659927137
Gargoyle_B0BYTQT173_Dragon,2.5,0.05,22.264765629213766,0.8633263354289265
Gargoyle_B0BYTQT173_Dragon,4.5,0.03,15.027906898014086,0.7246382785181648
Gargoyle_B0BYTQT173_Dragon,4.0,0.2,15.166343130381932,0.6452653340317729
Gargoyle_B0BYTQT173_Dragon,3.0,0.04,21.06405681981,0.6321990312103862
Gargoyle_B0BYTQT173_Dragon,1.0,0.02,11.639281756997905,0.2949910958554898
Gargoyle_B0BYTQT173_Dragon,5.0,0.03,13.886794873810127,0.6287781874244494
Gargoyle_B0BYTQT173_Dragon,1.5,0.1,16.69400080588662,0.3719420169327815
Gargoyle_B0BYTQT173_Dragon,5.0,0.15,13.285761492514315,0.5295076269523217
Gargoyle_B0BYTQT173_Dragon,4.0,0.01,16.70928990536387,0.8065324574559875
Gargoyle_B0BYTQT173_Dragon,4.0,0.15,15.570305894516654,0.7026050136486339
Gargoyle_B0BYTQT173_Dragon,2.5,0.02,21.834747840356222,0.9914599814341777
Gargoyle_B0BYTQT173_Dragon,1.0,0.1,13.059541877483912,0.29565490746673534
Gargoyle_B0BYTQT173_Dragon,1.5,0.2,18.802274652730457,0.39987385889337795
Gargoyle_B0BYTQT173_Dragon,1.0,0.04,11.997365211511642,0.2974244320286297
Gargoyle_B0BYTQT173_Dragon,3.0,0.03,21.11903711973624,0.6214832881431529
Gargoyle_B0BYTQT173_Dragon,2.0,0.15,21.682748326939254,0.7934018770587506
Gargoyle_B0BYTQT173_Dragon,1.5,0.03,15.235735488455273,0.3770613592784673
Gargoyle_B0BYTQT173_Dragon,4.0,0.1,15.989276423235998,0.7562602833798606
Gargoyle_B0BYTQT173_Dragon,3.5,0.25,16.32402609612434,0.6539770171915319
Gargoyle_B0BYTQT173_Dragon,5.0,0.05,13.788346222237061,0.6154625684746474
Gargoyle_B0BYTQT173_Dragon,1.5,0.01,14.810785577631222,0.3810278872527253
Gargoyle_B0BYTQT173_Dragon,1.0,0.25,15.781575046660583,0.24084301861442495
Gargoyle_B0BYTQT173_Dragon,2.5,0.01,21.63494655939973,1.043783504882067
Gargoyle_B0BYTQT173_Dragon,1.5,0.15,17.746456279710067,0.37577594483519955
Gargoyle_B0BYTQT173_Dragon,4.0,0.05,16.409414912403584,0.7983607805983829
Gargoyle_B0BYTQT173_Dragon,1.5,0.02,15.025344102000366,0.3786847701363547
Gargoyle_B0BYTQT173_Dragon,1.0,0.03,11.819070636831754,0.2964824089457552
Gargoyle_B0BYTQT173_Dragon,3.5,0.04,18.557174754540462,0.8247571903586699
Gargoyle_B0BYTQT173_Dragon,3.0,0.25,18.474244316435666,0.6769191331318314
Gargoyle_B0BYTQT173_Dragon,4.5,0.25,13.655417790651423,0.5125768004784795
Gargoyle_B0BYTQT173_Dragon,1.0,0.2,14.858170241146974,0.26710025845915214
Gargoyle_B0BYTQT173_Dragon,1.0,0.01,11.456647527905517,0.2927129159754566
Gargoyle_B0BYTQT173_Dragon,3.5,0.2,16.83873995843632,0.7134681260140794
Gargoyle_B0BYTQT173_Dragon,1.5,0.04,15.444408849512183,0.3758057599457763
Gargoyle_B0BYTQT173_Dragon,1.0,0.15,13.95153652500079,0.28556275697559036
Gargoyle_B0BYTQT173_Dragon,2.0,0.04,19.291701037208526,0.7181378503411372
Gargoyle_B0BYTQT173_Dragon,5.0,0.01,13.976397134890373,0.6363192975780407
Gargoyle_B0BYTQT173_Dragon,2.0,0.05,19.532590085052068,0.719773907704196
Gargoyle_B0BYTQT173_Dragon,2.0,0.01,18.533394014049684,0.726366326029195
Gargoyle_B0BYTQT173_Dragon,3.5,0.1,17.928945985425422,0.8113578841701221
Gargoyle_B0BYTQT173_Dragon,4.5,0.1,14.578364326708165,0.6663394142656606
Gargoyle_B0BYTQT173_Dragon,2.5,0.03,22.001450303059848,0.9461340303623534
Gargoyle_B0BYTQT173_Dragon,2.0,0.25,22.838606748978805,0.9223860966004273
Gargoyle_B0BYTQT173_Dragon,4.0,0.04,16.49057366199996,0.8039301770773427
